,AdfgStreamCode,StreamName,SurveyDate,Comments,BeginLatitude,BeginLongitude,BeginComments,EndLatitude,EndLongitude,EndComments,ExtentLatitude,ExtentLongitude,ExtentComments,DistanceMeters,SpeciesCode,CommonName,AliveCount,DeadCount,PreviouslySampledCount,TotalCount,NumberofSpecimens,NumberStrays,PercentStrays,numReadOK,numMarked,numUnMarked,Year
1,101-30-10600,Marten River,8/15/13,,55.19149868,-130.4638316,,55.2058003,-130.4541626,,NA,NA,,1707.06011,450,Chum Salmon,2,50,NA,52,50,5,10.42,48,5,43,2013
2,101-30-10600,Marten River,8/1/14,"very few fish, none in right and middle trib",55.19556562,-130.4622673,,55.21089528,-130.4499355,,NA,NA,,1878.563721,450,Chum Salmon,43,1,NA,44,9,0,0,9,0,9,2014
3,101-30-10600,Marten River,8/28/14,...,55.15749962,-130.530733,,55.20665242,-130.4544221,,NA,NA,,7319.522712,450,Chum Salmon,2,10,NA,12,10,1,10,10,1,9,2014
4,101-30-10600,Marten River,8/9/15,"SURVEY QUALITY: GOOD River is wide enough that an accurate live count is very difficult since you can not see the entire channel. The count is essentially from one side of the river. We got the jetboat further up river then we ever have in the past. Slightly more water made this possible. We made it up until the stream got narrow and fast flowing with large boulders. A flight later confirmed there are not many fish above this point. Most fish were carcasses, still some fresh fish seen on redds and moving up river. ",55.18730917,-130.4649368,,55.21595748,-130.4477132,,NA,NA,,3372.620569,450,Chum Salmon,284,137,NA,421,173,6,3.49,172,6,166,2015
5,101-30-10600,Marten River,8/10/15,"SURVEY QUALITY: GOODStarted survey where we left off on the previous day and worked down. Found many carcasses and were able to reach our sampling goal. Found many chum at the mouth of a small tributary to the left (if you are going upstream). Some had spawned and were stranded in a isolated pool. We never made it down low towards the tideflat, although observation from the jetboat suggests there are fewer carcasses down there. Dead greatly outnumbered alive fish and most fish seen were actively spawning.",55.18768975,-130.464291,,55.18253315,-130.4862466,,NA,NA,,1511.786404,450,Chum Salmon,65,219,NA,284,228,9,4.04,223,9,214,2015
6,101-30-10600,Marten River,8/21/15,"SURVEY QUALITY: GOOD Lots of dead pinks and chums. Only a few live chums seen, most carcasses were rotten. Good water level and visibility. Slightly lower levels than the last visit.",55.19553413,-130.4620574,,55.17386699,-130.4960631,,NA,NA,,3242.013416,450,Chum Salmon,11,203,NA,214,192,3,1.67,180,3,177,2015
7,101-45-10780,Carroll Creek,8/10/13,,55.64412164,-131.3587883,,55.67890608,-131.3533309,,NA,NA,,3887.950403,450,Chum Salmon,345,30,NA,375,168,8,4.76,168,8,160,2013
8,101-45-10780,Carroll Creek,7/25/14,Thanks Andy and Malika for collecting a sample for us on their foot survey!,NA,NA,,NA,NA,,NA,NA,,NA,450,Chum Salmon,210,0,NA,210,1,0,0,1,0,1,2014
9,101-45-10780,Carroll Creek,8/7/14,"flew into mouh, hiked road to bridge (side channel) then hiked upstream. once we turned around we hiked main stream rest of the way down.  road is good access.",55.64250601,-131.3584004,,55.66815213,-131.3561402,,NA,NA,,2858.867348,450,Chum Salmon,2500,10,NA,2510,63,0,0,63,0,63,2014
10,101-45-10780,Carroll Creek,8/14/14,Jarrod and Ben flew into Carroll with Andy and Malika. We walked the road and then cut into the trib from the bridge. Collected samples up from there. Walked road back. Andy and Malika walked entire stream and observed very few chum below road. ,55.63911243,-131.3549714,,55.67031782,-131.3553352,,NA,NA,,3474.344527,450,Chum Salmon,1530,125,NA,1655,268,5,1.88,266,5,261,2014
11,101-45-10780,Carroll Creek,8/14/15,SURVEY QUALITY: GOOD River was loaded with carcasses throughout the tide flat and early part of survey. These fish were likely washed down with recent rains and high water. At the upper end of our survey there were many fresh chums actively working redds and carcasses were becoming fewer and fewer. I suspect the next visit will also be very productive. Cell C06 on tray 20155084 was found empty at the end of the season. Assume roc C in this tray is unsure pairing. Beads align in other cells. Rest of tray OK. ,55.65189743,-131.3559776,,55.65740248,-131.3602042,,NA,NA,,668.1629572,450,Chum Salmon,162,322,NA,484,288,9,3.23,279,9,270,2015
12,101-45-10780,Carroll Creek,8/25/15,"SURVEY QUALITY: GOOD Still quite a few chums in system working redds. Lots of carcasses. We got most of our samples in the upper reaches of the creek, above where we retrieved samples on our first visit. Good visibility, signs of recent flooding along creek.",55.6517523,-131.3554949,,55.67220073,-131.3532226,,NA,NA,,2281.126478,450,Chum Salmon,109,356,NA,465,192,2,1.06,189,2,187,2015
13,101-71-10040,King Creek,8/2/14,"3 kings observed , bad bugs",55.84158924,-130.8490816,,55.81989338,-130.8071072,,NA,NA,,3571.239224,450,Chum Salmon,107,3,NA,110,28,1,3.57,28,1,27,2014
14,101-71-10040,King Creek,8/23/14,...,55.84090763,-130.8499291,,55.82169764,-130.807419,,NA,NA,,3416.239956,450,Chum Salmon,67,172,NA,239,177,4,2.31,173,4,169,2014
15,101-71-10040,King Creek,8/7/15,SURVEY QUALITY: GOOD River level up a bit but clear water with good visibility. Lots of fresh chums throughout survey reach. After collection of cell F03 the tray was shaken without the lid sdecure. All of these early samples are now uncertain pairing. It is unknown which otoliths jumped cells or which cell some came from that fell out onto sand. All otoliths should be present but the order is now unknown. Everything is good after the F04 cell. The bead has been removed from B05 and C08 since it had jumped from that cell.,55.84136054,-130.8498456,,55.82966081,-130.8163002,,NA,NA,,2472.795275,450,Chum Salmon,557,87,NA,644,120,0,0,112,0,112,2015
16,101-71-10040,King Creek,8/19/15,Good visibility. Not many fish left in the creek. Most live chums were postspawn looking. Many carcasses were very rotten. It appears to be on the tail end of the run.,55.8409332,-130.8445405,,55.82967927,-130.8166493,,NA,NA,,2150.377417,450,Chum Salmon,91,310,NA,401,288,7,2.49,281,7,274,2015
17,101-71-10040,King Creek,8/29/15,SURVEY QUALITY: FAIRCreek was very high from recent heavy rains but finally dropping. We surveyed as far up as we could with the high water. Very few live fish or carcasses were seen and high water levels were observed. Seems like many fish have been washed out. Heavy rains continued as we walked out of survey.,55.83873711,-130.8353134,,55.83351643,-130.8213171,,NA,NA,,1052.106629,450,Chum Salmon,6,16,NA,22,13,0,0,13,0,13,2015
18,101-71-10040,King Creek,8/30/15,"Creek had come up nearly a foot since conditions were to high yesterday, surveyed lower reaches from jet boat. Drifted down and checked over shoreline and spots that could collect carcasses. System has been flushed out not much remains in stream and still raining.",55.83837613,-130.8349851,,55.84130155,-130.8497496,,NA,NA,,980.6702999,450,Chum Salmon,0,2,NA,2,2,1,50,2,1,1,2015
19,107-40-10490,Harding River,8/4/14,helicopter,56.21798509,-131.6385026,,56.26714077,-131.6556716,,56.25683351,-131.6503535,,5575.855478,450,Chum Salmon,320,5,NA,325,106,2,1.92,104,2,102,2014
20,107-40-10490,Harding River,8/13/15,"SURVEY QUALITY: POOR Helicopter survey for the Harding. River high and muddy with very poor visiibility. No count was able to be conducted. Stopped on gravel bars and searched for carcasses throughout the river system. Start and end location were upper and lower processing areas, later entered manually.",56.252,-131.654,,56.224,-131.644,,NA,NA,,3178.759762,450,Chum Salmon,NA,53,NA,53,54,4,7.55,53,4,49,2015
21,107-40-10490,Harding River,8/27/15,"SURVEY QUALITY: GOODRiver much lower and more accessible than first visit. Chum carcasses found were very rotten and mushy. We are a bit late. Not many carcasses at all, likely from recent floood. The carcasses that are present are pink salmon.",56.25243298,-131.6527693,,56.22740329,-131.6481093,,NA,NA,,2801.898874,450,Chum Salmon,10,41,NA,51,38,7,19.44,36,7,29,2015
22,109-44-10350,Straight Creek,8/31/15,"Straight creek, 109-44-10350, was surveyed as an alternate creek to Saginaw Bay S Head (109-44-10370) because on three visits  only ** samples were taken, and very few fish were seen on the creek.  Straight creek is in the same drainage and the two creeks connect in the low intertidal zone.SURVEY QUALITY: GOODLeft the Bear at 0800 and hiked along the creek.  No live or dead chum were seen on the creek, and the stream substrate was muddy and sandy throughout with very little spawning habitat for chum.  Sparse pockets of pinks were seen.  Water normal and a little dark.  Weather was partly cloudy.  High tide was at 1508 of 18.7' (Petersburg).",56.84715593,-134.1286797,,56.83790959,-134.101502,,NA,NA,,1952.222214,450,Chum Salmon,0,0,NA,0,0,NA,NA,NA,NA,NA,2015
23,109-44-10370,Saginaw Bay S Head,8/18/13,,56.84454173,-134.1247738,,56.83270554,-134.1082542,,NA,NA,,1659.47256,450,Chum Salmon,15,50,NA,65,17,0,0,17,0,17,2013
24,109-44-10370,Saginaw Bay S Head,8/13/14,...,56.83343288,-134.1097949,,56.84612411,-134.1279435,,NA,NA,,1795.610892,450,Chum Salmon,26,0,NA,26,11,2,18.18,11,2,9,2014
25,109-44-10370,Saginaw Bay S Head,8/30/14,"Hiked in to stream via road, at first bridge we came to we headed downstream to the mouth. No chums, many pinks. We headed back to the bridge and then continued up stream where we saw all of the salmon in both the alive and dead counts. Probably few chums overall, but we got the feeling that we were late for whatever had been there.",56.84392496,-134.1216869,,56.8327226,-134.1077868,,NA,NA,,1508.621561,450,Chum Salmon,4,8,NA,12,8,1,12.5,8,1,7,2014
26,109-44-10370,Saginaw Bay S Head,8/11/15,"SURVEY QUALITY: FAIR Left the Bear at 1330.  Went ashore where the float house in anchored, and hiked up to the logging road.  We then hiked along the logging road until we got to the creek.  We sampled the top portion of the creek first.  Very few chums were seen.  The right fork of the creek serves as the end point in the survey.  It had more chum than the left fork, but also had a ton of log jams, which made travel slow and difficult.  We eventually turned around when the log jams became so thick because we were running out of time.  The left fork was much easier to hike, but only a few chum were seen at the beginning of the fork.  We turned around from the left fork at N56 49.813, W134 06.053.  We then hiked back down to the bridge.  108 chum were seen above the bridge and only 7 below.  Some chum were seen in the intertidal zone on the way out.  Saginaw is characterized by log jams throughout the creek and lots of overhanging alders for chums to hide under.  The stream seemed low, but visibility was still low in deep pools.  The water was murky.  High tide was at 1217 of 13.5' (Petersburg).  Light drizzle throughout the day.  Three black bears seen.",56.8459963,-134.1280807,,56.83106551,-134.1037874,,NA,NA,,2227.761942,450,Chum Salmon,115,5,NA,120,12,2,20,10,2,8,2015
27,109-44-10370,Saginaw Bay S Head,8/19/15,"SURVEY QUALITY: GOOD Left the Bear at 0800 and got dropped off in the intertidal area of the creek.  Surveyed upstream.  Less than 5 chum seen below the bridge.  On our last visit we indicated that the stream had two forks.  On this visit we discovered that it is just a long braid section.  The right braid was the more productive of the two.  We were also able to obtain an extent location on this visit.  The chum migration ends in a 5 foot waterfall.  No chum were seen within 0.5 miles of the extent.  Reached the end location at 1230.  Roughly half of the chums observed were moldy, but many were still bright and observed to be spawning.  Hiked out on the road.  Stream was low and visibility was moderate.  This creek has dark water and pools.  Weather was mostly cloudy.  High tide was at 1646 of 15.0' (Petersburg).  ",56.84743338,-134.1344264,,56.82090138,-134.1037475,,56.82120647,-134.1037481,,3498.031742,450,Chum Salmon,55,20,NA,75,19,2,10.53,19,2,17,2015
28,109-62-10240,Petrof Bay W Head,8/17/13,200 fish in saltwater,56.36256528,-134.0682954,,56.35744138,-134.0674722,,56.36040449,-134.0689471,,572.8031578,450,Chum Salmon,200,91,NA,291,91,0,0,89,0,89,2013
29,109-62-10240,Petrof Bay W Head,8/14/14,beaver dam blown out,56.36430106,-134.0660065,,56.35430012,-134.0687783,,NA,NA,,1126.691977,450,Chum Salmon,847,115,NA,962,221,2,0.93,214,2,212,2014
30,109-62-10240,Petrof Bay W Head,8/31/14,...,56.36229908,-134.0690934,,56.35930709,-134.0672931,,NA,NA,,351.2446522,450,Chum Salmon,62,168,NA,230,168,0,0,162,0,162,2014
31,109-62-10240,Petrof Bay W Head,8/20/15,"SURVEY QUALITY: GOOD Left the Bear at 0800 and got dropped off in the intertidal zone of the creek.  We surveyed upstream.  Several dozen fresh chum were seen in the intertidal zone waiting to enter the stream.  Most of the creek was less than 15cm deep and narrow, winding through overhanging brush.  Almost all of our samples came from dead chum that looked fresh, many of which had not yet spawned.  We turned around when the creek started to cascade at 1215.  Water was low with moderate visibility due to dark water and glare from the sun.  Partly cloudy all day.  High tide was at 0503. ",56.36370914,-134.0673712,,56.35222974,-134.0688686,,NA,NA,,1281.559657,450,Chum Salmon,238,117,NA,355,102,6,5.88,102,6,96,2015
32,109-62-10240,Petrof Bay W Head,8/29/15,"SURVEY QUALITY: FAIR Left the Bear at 0800 and got dropped off in the intertidal zone of the creek.  Processed upstream, until we came to a long cascade stretch.  Most of the live chum observed were very moldy and lethargic.  Roughly 1/3 of today's samples came from live fish.  Carcasses sampled came from a mix of freshly dead fish and ones that were a bit degraded.  Visibility was not good as the creek has dark water, although there are very few deep spots in the entire creek.  The water was up from our previous visit.  Weather was rainy in the morning becoming mostly cloudy in the afternoon.  High tide was at 1347 of 17.2' (Petersburg).",56.36460591,-134.0653349,,56.35246939,-134.069191,,NA,NA,,1372.241142,450,Chum Salmon,389,331,NA,720,300,0,0,297,0,297,2015
33,110-23-10100,Johnston Creek,7/27/13,,57.50258412,-134.0867758,,57.51096647,-134.1589168,,NA,NA,,4424.019055,450,Chum Salmon,422,2,NA,424,2,0,0,2,0,2,2013
34,110-23-10100,Johnston Creek,7/31/13,,57.50099859,-134.0849583,,57.51012434,-134.113338,,NA,NA,,1981.697601,450,Chum Salmon,3000,15,NA,3015,19,2,10.53,19,2,17,2013
35,110-23-10100,Johnston Creek,8/4/13,,57.50274276,-134.0868462,,57.5165166,-134.1195741,,NA,NA,,2490.239307,450,Chum Salmon,175,150,NA,325,107,2,1.92,104,2,102,2013
36,110-23-10100,Johnston Creek,8/3/14,"No chums seen in flats, some further up the stream, lots of pinks, no bear kills.",57.49950122,-134.0743633,,57.51594973,-134.1434835,,NA,NA,,4530.112098,450,Chum Salmon,101,1,NA,102,2,0,0,2,0,2,2014
37,110-23-10100,Johnston Creek,8/12/14,same day as east of snug,57.50728369,-134.1043138,,57.51238456,-134.1579696,,NA,NA,,3265.842759,450,Chum Salmon,96,10,NA,106,22,0,0,22,0,22,2014
38,110-23-10100,Johnston Creek,7/29/15,"SURVEY QUALITY: FAIR Got to shore at 0930.  Hiked 1.5 miles across tide flat to stream channel to start the survey.  The bottom of the creek was very dark reducing accurate identification of chum.  Hiked 5.29 miles upstream from start.  Most chum were counted in the last 2 miles of the survey.  Completed survey when stream began to braid.  Chum are likely present above, but we needed to turn around to get our skiff.  Most chums were prespawn.  Lots of pinks visible throughout.  Stream is wide.  0 bears seen.  Beaver sign and beaver damn found on the creek.  Rain most of the day.  High tide at 1252 of 14' (Petersburg). Upon returning for the skiffs we found that the strong winds had blown them ashore at high tide.  ",57.49877468,-134.0770634,,57.51280999,-134.1628716,,NA,NA,,5376.053012,450,Chum Salmon,244,1,NA,245,0,NA,NA,NA,NA,NA,2015
